experiment,molecule,rotation_precision,condition,baseline_condition,code_distance,baseline_code_distance,runtime_change_pct,code_distance_change_pct,physical_runtime_change_pct,qubit_volume_change_pct,physical_minus_beat_percentage_points
magic_period_1e-2,H4,1e-02,30,15,13,13,3.395942900075122,0.0,3.395942900075122,2.155521657062942,0.0
magic_period_1e-2,H4,1e-02,100,15,13,13,100.07513148009015,0.0,100.07513148009015,71.44703310233069,0.0
magic_period_1e-2,H5,1e-02,1,15,13,13,-0.17305526728345066,0.0,-0.17305526728345066,-0.14472938695834214,0.0
magic_period_1e-2,H5,1e-02,4,15,13,13,-0.1727792620724644,0.0,-0.1727792620724644,-0.1446909870148616,0.0
magic_period_1e-2,H5,1e-02,30,15,13,13,2.0181501026739435,0.0,2.0181501026739435,1.3648107909985052,0.0
magic_period_1e-2,H5,1e-02,100,15,13,13,32.88491686723045,0.0,32.88491686723045,24.331778583621922,0.0
magic_period_1e-2,H6,1e-02,1,15,15,15,-0.08991493850435406,0.0,-0.08991493850435406,-0.05841265478045976,0.0
magic_period_1e-2,H6,1e-02,4,15,15,15,-0.08949411975940347,0.0,-0.08949411975940347,-0.058387755950628506,0.0
magic_period_1e-2,H6,1e-02,30,15,15,15,1.5340245982583767,0.0,1.5340245982583767,1.0595199057430005,0.0
magic_period_1e-2,H6,1e-02,100,15,15,15,8.839438010593415,0.0,8.839438010593415,6.050656337304106,0.0
magic_period_1e-2,H7,1e-02,1,15,15,15,-0.0436546677663352,0.0,-0.0436546677663352,-0.03012009892743306,0.0
magic_period_1e-2,H7,1e-02,4,15,15,15,-0.043438198339396106,0.0,-0.043438198339396106,-0.030108745705070827,0.0
magic_period_1e-2,H7,1e-02,30,15,15,15,1.039774814070804,0.0,1.039774814070804,0.7437533813680508,0.0
magic_period_1e-2,H7,1e-02,100,15,15,15,6.095779062644091,0.0,6.095779062644091,4.317471519306371,0.0
magic_stock,H4,1e-05,1,10000,13,13,4.263319264351106,0.0,4.263319264351106,6.356787575764167,0.0
